file,pid,hispanic,ethnicity,gender,age,age_group
02370001/02370001_GX020005_07.17.2023_2023-07-17-192301.xlsx,02370001,no,mixed,male,4.61,4
02370001/02370001_GX020006_07.14.2023_2023-07-14-190051.xlsx,02370001,no,mixed,male,4.6,4
02370001/02370001_GX030005_07.17.2023_2023-07-17-191655.xlsx,02370001,no,mixed,male,4.61,4
02370001/02370001_GX030006_07.14.2023_2023-07-14-185308.xlsx,02370001,no,mixed,male,4.6,4
02370001/02370001_GX040005_07.17.2023_2023-07-17-191101.xlsx,02370001,no,mixed,male,4.61,4
02390001/02390001_GX010007_07.17.2023_2023-07-18-172039.xlsx,02390001,no,mixed,male,4.64,4
02390001/02390001_GX010017_07.21.2023_2023-07-25-001709.xlsx,02390001,no,mixed,male,4.65,4
02390001/02390001_GX010021_07.26.2023_2023-07-26-225450.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX010022_07.26.2023_2023-07-26-230105.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX020007_07.17.2023_2023-07-18-173600.xlsx,02390001,no,mixed,male,4.64,4
02390001/02390001_GX020017_07.21.2023_2023-07-24-201930.xlsx,02390001,no,mixed,male,4.65,4
02390001/02390001_GX020021_07.26.2023_2023-07-26-231410.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX020022_07.26.2023_2023-07-26-232011.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX030007_07.17.2023_2023-07-18-180435.xlsx,02390001,no,mixed,male,4.64,4
02390001/02390001_GX030021_07.26.2023_2023-07-26-232742.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX030022_07.26.2023_2023-07-26-224055.xlsx,02390001,no,mixed,male,4.66,4
02410001/02410001_GX010022_07.24.2023_2023-07-24-213454.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX010026_07.26.2023_2023-07-31-181325.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX010027_07.26.2023_2023-07-31-181615.xlsx,02410001,no,asian,female,4.7,4
